CustomerID,LastInvoiceDate,Frequency,Monetary,Recency
12346.0,2010-06-28 13:53:00,11,372.86,165
12347.0,2010-12-07 14:57:00,2,1323.32,3
12348.0,2010-09-27 14:59:00,1,222.16,74
12349.0,2010-10-28 08:23:00,3,2671.14,43
12351.0,2010-11-29 15:23:00,1,300.93,11
12352.0,2010-11-29 10:07:00,2,343.8,11
12353.0,2010-10-27 12:44:00,1,317.76,44
12355.0,2010-05-21 11:59:00,1,488.21000000000004,203
12356.0,2010-11-24 12:24:00,3,3562.25,16
12357.0,2010-11-16 14:29:00,2,12079.99,24
12358.0,2010-11-29 10:56:00,3,2719.01,11
12359.0,2010-10-10 11:16:00,6,2563.36,61
12360.0,2010-11-25 11:04:00,5,1590.83,15
12361.0,2010-09-03 15:19:00,3,321.35,98
12362.0,2009-12-01 10:10:00,1,130.0,374
12366.0,2010-03-16 10:28:00,1,500.24,269
12368.0,2010-03-21 15:56:00,1,917.6999999999999,264
12369.0,2010-10-22 13:13:00,3,1791.15,49
12370.0,2010-03-25 12:10:00,3,774.62,260
12371.0,2010-10-26 13:37:00,3,2179.42,45
12373.0,2010-03-25 13:49:00,2,763.0500000000001,260
12374.0,2010-10-14 13:31:00,3,2246.29,57
12376.0,2010-11-15 12:15:00,2,503.15,25
12377.0,2010-11-23 19:24:00,2,1798.2,17
12378.0,2010-05-26 14:07:00,1,1407.7,198
12379.0,2010-10-13 14:46:00,2,767.98,58
12380.0,2010-08-31 14:54:00,7,6951.49,101
12385.0,2010-11-25 15:14:00,1,1938.4,15
12386.0,2010-12-08 09:53:00,1,258.9,2
12387.0,2010-10-20 16:27:00,1,143.94,51
12388.0,2010-09-20 12:41:00,2,1120.45,81
12389.0,2010-11-02 11:52:00,3,1433.33,38
12391.0,2010-09-01 12:38:00,5,2312.53,100
12392.0,2010-04-27 14:04:00,1,234.75000000000003,227
12393.0,2010-11-22 16:10:00,2,816.85,18
12395.0,2010-12-03 16:35:00,4,2048.64,7
12396.0,2010-02-03 13:22:00,1,931.43,310
12399.0,2010-11-19 08:53:00,3,853.65,21
12400.0,2010-10-21 13:45:00,1,205.25,50
12402.0,2010-11-12 09:50:00,5,1031.3,28
12403.0,2010-07-06 11:39:00,1,591.6600000000001,157
12404.0,2010-01-26 16:25:00,1,63.24,318
12406.0,2010-11-05 11:42:00,3,2975.06,35
12408.0,2010-11-19 13:21:00,3,1452.22,21
12409.0,2010-10-15 10:24:00,4,12346.619999999999,56
12410.0,2010-07-25 13:26:00,1,320.38,138
12411.0,2010-10-26 09:25:00,1,346.9,45
12412.0,2010-11-02 17:02:00,3,1370.05,38
12413.0,2010-11-02 13:26:00,1,241.35,38
12414.0,2010-09-02 13:47:00,3,390.0,99
12415.0,2010-11-29 15:07:00,7,19543.84,11
12416.0,2010-02-21 10:19:00,1,202.56,292
12417.0,2010-10-25 14:27:00,11,3167.81,46
12418.0,2010-10-22 10:29:00,3,1352.62,49
12419.0,2010-11-19 10:04:00,2,503.01,21
12421.0,2010-10-20 14:28:00,2,291.56,51
12422.0,2010-11-10 13:19:00,14,4428.24,30
12423.0,2010-11-17 11:33:00,2,763.08,23
12424.0,2010-10-13 10:29:00,2,1579.07,58
12425.0,2010-09-17 14:10:00,1,964.21,84
12426.0,2010-02-15 08:41:00,1,762.48,298
12427.0,2010-12-03 10:44:00,1,303.5,7
12429.0,2010-12-09 12:05:00,5,3735.51,1
12431.0,2010-12-01 10:03:00,13,4370.52,9
12433.0,2010-12-08 16:49:00,5,7205.39,2
12434.0,2010-11-23 13:38:00,1,297.29,17
12435.0,2010-11-08 10:07:00,4,6096.04,32
12437.0,2010-11-09 14:46:00,21,7731.99,31
12439.0,2010-01-26 12:11:00,2,1158.18,318
12440.0,2010-09-03 13:11:00,2,859.2,98
12441.0,2010-12-08 10:45:00,1,173.55,2
12443.0,2009-12-07 15:42:00,1,485.31,368
12445.0,2010-10-15 12:28:00,1,301.58000000000004,56
12449.0,2010-10-25 12:21:00,2,768.6,46
12450.0,2010-11-05 16:27:00,3,490.32,35
12451.0,2010-09-02 15:38:00,3,3634.36,99
12454.0,2010-11-09 10:09:00,4,13151.44,31
12455.0,2010-09-20 14:39:00,4,3413.09,81
12457.0,2010-09-30 17:59:00,1,632.68,71
12458.0,2010-10-08 11:36:00,2,830.09,63
12459.0,2010-04-13 14:53:00,1,454.36,241
12460.0,2010-09-09 13:51:00,1,326.65,92
12466.0,2010-01-26 16:26:00,1,56.73,318
12467.0,2010-10-12 15:41:00,1,132.8,59
12468.0,2010-07-01 10:28:00,3,2941.2,162
12469.0,2010-07-05 12:40:00,2,3070.54,158
12470.0,2010-01-19 11:01:00,1,211.95,325
12471.0,2010-11-30 14:35:00,49,20139.739999999998,10
12472.0,2010-12-05 14:19:00,13,11308.48,5
12474.0,2010-11-26 12:19:00,13,5048.66,14
12475.0,2010-10-26 08:49:00,1,426.26,45
12476.0,2010-11-08 09:35:00,12,7298.99,32
12477.0,2010-11-05 09:35:00,3,7056.63,35
12480.0,2010-11-05 15:08:00,3,2183.2200000000003,35
12481.0,2010-12-09 10:13:00,6,6765.07,1
12482.0,2010-05-12 16:51:00,29,23691.4,212
12483.0,2010-11-26 12:35:00,11,2635.6,14
12484.0,2010-08-13 13:45:00,6,1828.43,119
12485.0,2010-06-28 15:22:00,1,708.1,165
12486.0,2010-10-04 12:14:00,1,1037.28,67
12487.0,2009-12-09 11:36:00,1,285.29999999999995,366
12490.0,2010-11-26 14:16:00,11,4405.71,14
12492.0,2010-11-01 14:58:00,1,452.0,39
12494.0,2010-12-09 11:31:00,3,626.77,1
12495.0,2010-03-09 10:53:00,1,357.4,276
12496.0,2010-03-29 14:06:00,2,54.09,256
12497.0,2010-11-04 12:31:00,2,5205.400000000001,36
12499.0,2010-05-28 15:12:00,1,393.72,196
12500.0,2010-09-30 18:45:00,8,1697.39,71
12503.0,2010-05-04 13:59:00,1,1126.0,220
12504.0,2010-10-18 15:09:00,2,297.0,53
12505.0,2010-10-27 09:18:00,1,955.2,44
12507.0,2010-05-04 09:23:00,1,539.25,220
12510.0,2010-09-06 14:27:00,7,4195.45,95
12511.0,2010-10-07 10:39:00,1,3084.02,64
12514.0,2010-03-08 12:18:00,1,580.08,277
12516.0,2010-10-05 09:43:00,2,1336.56,66
12519.0,2010-08-20 08:21:00,1,385.7,112
12523.0,2010-11-30 12:31:00,12,2582.38,10
12524.0,2010-11-16 09:08:00,9,6640.39,24
12525.0,2010-07-29 16:08:00,3,973.73,134
12527.0,2010-08-02 12:23:00,2,386.8,130
12529.0,2010-06-29 13:10:00,1,316.48,164
12530.0,2010-10-20 15:15:00,5,2096.98,51
12531.0,2010-01-22 14:17:00,1,1807.98,322
12533.0,2010-03-22 10:56:00,2,1367.89,263
12537.0,2010-10-27 08:36:00,1,732.94,44
12538.0,2010-11-26 13:02:00,1,276.5,14
12539.0,2010-09-15 09:50:00,3,5646.400000000001,86
12540.0,2010-11-26 10:43:00,16,8854.25,14
12542.0,2010-08-12 19:12:00,2,481.88,120
12543.0,2010-09-17 15:51:00,1,980.25,84
12547.0,2010-07-27 13:55:00,1,175.78,136
12549.0,2010-05-13 12:05:00,6,1575.68,211
12553.0,2010-11-19 12:18:00,2,916.47,21
12554.0,2010-09-17 12:29:00,1,468.5,84
12555.0,2010-01-26 16:26:00,1,129.23,318
12557.0,2010-12-03 12:20:00,4,6725.18,7
12562.0,2010-11-19 09:35:00,2,1185.18,21
12563.0,2010-10-27 09:52:00,1,249.24,44
12567.0,2010-12-07 10:36:00,7,4308.58,3
12568.0,2010-03-05 09:15:00,1,70.0,280
12570.0,2010-01-26 17:28:00,1,77.52,318
12573.0,2010-11-23 13:01:00,4,556.87,17
12575.0,2010-09-08 13:09:00,2,622.8199999999999,93
12576.0,2010-11-12 12:44:00,3,826.89,28
12577.0,2010-11-23 14:06:00,5,995.9499999999999,17
12578.0,2010-11-19 17:21:00,2,1847.94,21
12580.0,2010-05-12 11:45:00,1,637.2,212
12582.0,2010-10-13 10:52:00,2,1469.04,58
12583.0,2010-12-01 08:45:00,13,7166.0599999999995,9
12586.0,2010-11-30 10:47:00,3,1865.73,10
12588.0,2010-11-05 12:53:00,3,743.88,35
12589.0,2010-10-14 11:54:00,6,4048.98,57
12591.0,2010-11-14 14:32:00,2,899.3,26
12592.0,2010-07-08 14:26:00,3,2145.06,155
12594.0,2010-11-26 12:17:00,5,1751.89,14
12595.0,2010-07-23 09:10:00,1,299.02,140
12598.0,2010-09-02 14:22:00,3,1511.01,99
12599.0,2010-11-23 15:49:00,6,1264.14,17
12600.0,2010-12-03 12:57:00,12,2444.88,7
12601.0,2010-10-31 10:57:00,1,104.19999999999999,40
12605.0,2010-11-28 14:18:00,4,1232.95,12
12606.0,2010-01-26 16:23:00,1,21.0,318
12608.0,2010-10-31 10:49:00,1,415.79,40
12609.0,2010-11-30 14:48:00,6,2309.01,10
12613.0,2010-11-16 17:17:00,5,3490.69,24
12615.0,2010-10-22 09:45:00,4,3449.79,49
12616.0,2010-11-16 11:38:00,1,417.8,24
12619.0,2010-05-28 12:52:00,1,140.14,196
12621.0,2010-12-09 10:16:00,16,11086.14,1
12623.0,2010-10-19 09:35:00,6,3442.7400000000002,52
12625.0,2010-07-18 15:56:00,2,2481.06,145
12629.0,2010-11-19 09:18:00,2,1558.22,21
12631.0,2010-09-09 14:50:00,5,2841.07,92
12632.0,2010-07-07 09:39:00,2,804.88,156
12633.0,2010-11-22 13:09:00,3,3514.18,18
12634.0,2010-06-22 10:05:00,2,490.0,171
12635.0,2010-11-12 15:46:00,2,1241.23,28
12636.0,2009-12-01 09:55:00,1,141.0,374
12637.0,2010-11-26 13:50:00,4,2318.41,14
12638.0,2010-03-10 10:30:00,1,249.8,275
12639.0,2010-10-01 12:17:00,2,826.27,70
12643.0,2010-11-19 12:42:00,6,5005.78,21
12644.0,2010-10-05 10:23:00,3,1440.58,66
12645.0,2010-10-26 18:44:00,4,1764.12,45
12647.0,2010-12-07 12:28:00,27,14201.53,3
12648.0,2010-09-28 10:35:00,3,793.95,73
12649.0,2010-11-22 12:57:00,5,1671.1399999999999,18
12651.0,2010-11-26 11:58:00,3,263.75,14
12652.0,2010-10-01 15:16:00,1,97.05000000000001,70
12653.0,2010-07-01 09:56:00,1,1950.98,162
12655.0,2010-10-12 09:17:00,1,261.35,59
12656.0,2010-10-10 10:43:00,3,2356.66,61
12661.0,2010-09-29 16:46:00,1,162.0,72
12662.0,2010-12-01 13:04:00,10,3138.2400000000002,9
12663.0,2010-03-25 09:40:00,2,239.4,260
12664.0,2010-07-13 13:28:00,2,1188.16,150
12665.0,2010-10-18 11:34:00,2,250.6,53
12666.0,2010-11-10 16:40:00,1,1248.42,30
12668.0,2010-11-26 11:48:00,6,7637.53,14
12670.0,2010-11-19 10:05:00,2,764.24,21
12671.0,2010-04-12 16:30:00,1,2622.481,242
12672.0,2010-04-23 09:57:00,1,211.15,231
12673.0,2010-11-03 10:46:00,1,619.5,37
12675.0,2010-06-04 09:49:00,2,958.5,189
12676.0,2010-10-27 09:36:00,5,1511.7,44
12677.0,2010-06-02 14:30:00,2,395.1,191
12678.0,2010-11-29 09:55:00,9,16652.72,11
12681.0,2010-12-07 10:08:00,24,17080.74,3
12682.0,2010-12-09 14:49:00,23,11745.69,1
12683.0,2010-12-09 12:17:00,8,4220.21,1
12686.0,2010-12-03 09:51:00,1,89.14,7
12687.0,2010-08-16 12:12:00,2,2138.91,116
12691.0,2010-10-15 12:00:00,1,134.6,56
12692.0,2010-03-12 14:02:00,1,110.95,273
12693.0,2010-11-08 14:57:00,3,847.11,32
12694.0,2010-10-14 19:39:00,1,973.68,57
12695.0,2010-06-29 16:12:00,3,825.02,164
12696.0,2010-10-01 10:43:00,2,851.91,70
12698.0,2010-04-28 15:51:00,1,339.75,226
12699.0,2010-10-18 12:07:00,1,638.11,53
12701.0,2010-06-28 13:44:00,4,1648.7,165
12703.0,2010-03-16 13:22:00,3,722.98,269
12705.0,2010-11-21 13:59:00,5,4893.81,19
12708.0,2010-12-06 10:43:00,9,2601.19,4
