rating,date,variation,verified_reviews,feedback,processed_reviews
5,31-Jul-18,Charcoal Fabric ,Love my Echo!,1.0,love echo
5,31-Jul-18,Charcoal Fabric ,Loved it!,1.0,love
4,31-Jul-18,Walnut Finish ,"""Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.""",1.0,sometim play game answer question correctli alexa say got wrong answer like abl turn light away home
5,31-Jul-18,Charcoal Fabric ,"""I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.""",1.0,lot fun thing yr old learn dinosaur control light play game like categori nice sound play music well
5,31-Jul-18,Charcoal Fabric ,Music,1.0,music
5,31-Jul-18,Heather Gray Fabric ,"""I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.""",1.0,receiv echo gift need anoth bluetooth someth play music easili access found smart speaker cant wait see els
5,31-Jul-18,Charcoal Fabric ,I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.,1.0,think th one ive purchas im work get one everi room hous realli like featur offer specifili play music echo control light throughout hous
5,30-Jul-18,Heather Gray Fabric ,looks great,1.0,look great
5,30-Jul-18,Heather Gray Fabric ,"""Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!""",1.0,love ive listen song havent heard sinc childhood get news weather inform great
5,30-Jul-18,Charcoal Fabric ,"""I sent it to my 85 year old Dad, and he talks to it constantly.""",1.0,sent year old dad talk constantli
5,30-Jul-18,Charcoal Fabric ,I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times,1.0,love learn knew thing eveyday still figur everyth work far easi use understand make laugh time
5,30-Jul-18,Oak Finish ,"""I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!""",1.0,purchas mother knee problem give someth tri come get around fast like didsh enjoy littl big thing doalexa play song time cook
5,30-Jul-18,Charcoal Fabric ,"""Love, Love, Love!!""",1.0,love love love
5,30-Jul-18,Oak Finish ,Just what I expected....,1.0,expect
5,30-Jul-18,Heather Gray Fabric ,"""I love it, wife hates it.""",1.0,love wife hate
5,30-Jul-18,Heather Gray Fabric ,Really happy with this purchase.  Great speaker and easy to set up.,1.0,realli happi purchas great speaker easi set
5,30-Jul-18,Heather Gray Fabric ,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1.0,use alexa coupl day lot fun new toy like new household member tri learn differ featu benefit come
5,30-Jul-18,Charcoal Fabric ,We love the size of the 2nd generation echo. Still needs a little improvement on sound,1.0,love size nd gener echo still need littl improv sound
4,30-Jul-18,Sandstone Fabric ,"""I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)""",1.0,like origin echo shorter greater fabriccolor choic miss volum ring top plusminu button big deal ring w comfort well like use standard usb charger port instead previou round pin guess sound seem work still answer alexaechocomput what like
5,30-Jul-18,Charcoal Fabric ,Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.,1.0,love echo good music sound play alexa understand command difficult time find specif playlist song spotifi good amazon music lack major program
5,30-Jul-18,Charcoal Fabric ,"""We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.""",1.0,love alexa use play music play radio itun play podcast anypod set remind listen flash brief news weather everi morn reli custom list like abl voic control volum sure well continu find new usessometim bit frustrat alexa doesnt understand say
4,30-Jul-18,Heather Gray Fabric ,"""Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it’s not intrusive to look at.""",1.0,set day still ad smart home devic speaker great play music like size station kitchen counter intrus look
